Zip,LessThan10K,MoreThan10K,MoreThan25K,MoreThan50K 
95203,0.2,0.33,0.29,0.18
95204,0.15,0.25,0.3,0.29
95205,0.24,0.39,0.28,0.1
95206,0.19,0.32,0.27,0.22
95207,0.19,0.28,0.28,0.25
95208,0.15,0.3,0.29,0.26
95209,0.18,0.2,0.22,0.4
95210,0.21,0.29,0.29,0.2
95212,0.16,0.2,0.23,0.41
95213,0.15,0.29,0.32,0.24
95215,0.2,0.32,0.28,0.2
95219,0.14,0.16,0.23,0.46
95220,0.17,0.25,0.23,0.35
95221,0.21,0.26,0.27,0.26
95222,0.18,0.23,0.25,0.34
95223,0.18,0.2,0.25,0.37
95224,0.19,0.27,0.29,0.26
95225,0.18,0.24,0.27,0.32
95227,0.12,0.2,0.22,0.46
95228,0.17,0.16,0.25,0.42
95230,0.2,0.27,0.29,0.24
95231,0.17,0.33,0.3,0.2
95232,0.13,0.28,0.32,0.27
95233,0.12,0.32,0.18,0.38
95234,0.16,0.46,0.28,0.09
95236,0.16,0.3,0.22,0.32
95237,0.16,0.26,0.25,0.33
95240,0.18,0.29,0.27,0.26
95241,0.17,0.38,0.27,0.18
95242,0.15,0.18,0.24,0.43
95245,0.17,0.22,0.27,0.34
95246,0.18,0.23,0.26,0.33
95247,0.16,0.22,0.23,0.39
95248,0.22,0.32,0.23,0.23
95249,0.19,0.27,0.24,0.3
95251,0.19,0.25,0.31,0.25
95252,0.14,0.18,0.24,0.45
95253,0.23,0.47,0.21,0.09
95254,0.12,0.18,0.21,0.48
95255,0.2,0.31,0.29,0.2
95257,0.21,0.3,0.29,0.21
95258,0.18,0.2,0.21,0.41
95267,0.14,0.27,0.31,0.28
95269,0.17,0.29,0.33,0.21
95301,0.19,0.29,0.27,0.25
95303,0.21,0.38,0.23,0.18
95304,0.17,0.19,0.22,0.42
95305,0.22,0.32,0.27,0.19
95306,0.2,0.22,0.27,0.32
95307,0.19,0.29,0.28,0.24
95309,0.22,0.24,0.23,0.31
95310,0.21,0.29,0.24,0.26
95311,0.2,0.24,0.29,0.26
95312,0.23,0.43,0.26,0.09
95313,0.21,0.41,0.26,0.12
95315,0.2,0.35,0.29,0.17
95316,0.18,0.25,0.28,0.28
95317,0.15,0.49,0.26,0.1
95318,0.13,0.27,0.4,0.19
95319,0.22,0.42,0.26,0.1
95320,0.18,0.24,0.25,0.33
95321,0.18,0.22,0.27,0.32
95322,0.18,0.28,0.29,0.24
95323,0.19,0.31,0.27,0.22
95324,0.18,0.27,0.29,0.26
95326,0.19,0.29,0.25,0.27
95327,0.21,0.25,0.27,0.26
95328,0.24,0.37,0.3,0.09
95329,0.15,0.18,0.26,0.4
95330,0.15,0.22,0.29,0.34
95333,0.24,0.36,0.25,0.15
95334,0.21,0.41,0.28,0.1
95335,0.18,0.29,0.24,0.29
95336,0.16,0.21,0.27,0.37
95337,0.16,0.2,0.26,0.38
95338,0.21,0.24,0.25,0.3
95340,0.23,0.3,0.23,0.24
95341,0.26,0.42,0.22,0.1
95344,0.19,0.37,0.25,0.19
95345,0.19,0.3,0.33,0.18
95346,0.2,0.26,0.24,0.3
95348,0.21,0.3,0.27,0.22
95350,0.19,0.26,0.28,0.27
95351,0.25,0.34,0.27,0.14
95352,0.15,0.29,0.31,0.25
95353,0.21,0.28,0.3,0.21
95354,0.2,0.29,0.3,0.22
95355,0.17,0.21,0.25,0.37
95356,0.17,0.2,0.24,0.38
95357,0.17,0.22,0.24,0.37
95358,0.21,0.3,0.27,0.23
95360,0.19,0.28,0.29,0.25
95361,0.18,0.23,0.25,0.35
95363,0.18,0.27,0.25,0.3
95364,0.12,0.29,0.26,0.33
95365,0.28,0.49,0.2,0.04
95366,0.17,0.17,0.23,0.43
95367,0.19,0.27,0.26,0.28
95368,0.14,0.19,0.23,0.44
95369,0.14,0.26,0.34,0.26
95370,0.2,0.24,0.24,0.32
95372,0.19,0.28,0.25,0.28
95373,0.17,0.25,0.35,0.24
95374,0.23,0.3,0.28,0.19
95376,0.14,0.17,0.24,0.45
95377,0.12,0.1,0.15,0.63
95378,0.18,0.32,0.28,0.22
95379,0.22,0.27,0.25,0.26
95380,0.21,0.31,0.28,0.21
95381,0.17,0.36,0.29,0.19
95382,0.18,0.21,0.25,0.36
95383,0.21,0.22,0.23,0.35
95385,0.22,0.35,0.26,0.17
95386,0.22,0.28,0.28,0.22
95387,0.18,0.46,0.28,0.08
95388,0.23,0.38,0.28,0.12
95389,0.09,0.47,0.29,0.15
95391,0.16,0.2,0.22,0.42
95401,0.14,0.23,0.32,0.31
95402,0.14,0.27,0.34,0.25
95403,0.14,0.19,0.28,0.39
95404,0.15,0.2,0.25,0.4
95405,0.15,0.18,0.26,0.42
95406,0.1,0.27,0.35,0.29
95407,0.14,0.28,0.33,0.26
95409,0.14,0.17,0.24,0.45
95410,0.25,0.34,0.21,0.2
95412,0.21,0.23,0.38,0.17
95415,0.18,0.36,0.26,0.2
95416,0.1,0.39,0.37,0.13
95417,0.2,0.27,0.27,0.25
95418,0.19,0.32,0.36,0.13
95419,0.14,0.37,0.26,0.23
95420,0.23,0.3,0.25,0.22
95421,0.16,0.25,0.33,0.27
95422,0.27,0.36,0.23,0.14
95423,0.23,0.31,0.26,0.19
95424,0.31,0.36,0.19,0.14
95425,0.15,0.23,0.26,0.35
95426,0.15,0.19,0.25,0.4
95427,0.18,0.28,0.33,0.2
95428,0.29,0.38,0.22,0.11
95430,0.15,0.23,0.2,0.41
95432,0.25,0.31,0.22,0.22
95433,0.13,0.3,0.33,0.24
95435,0.15,0.54,0.24,0.07
95436,0.15,0.21,0.31,0.34
95437,0.21,0.3,0.28,0.21
95439,0.14,0.29,0.28,0.29
95441,0.11,0.33,0.3,0.25
95442,0.13,0.18,0.28,0.41
95443,0.14,0.36,0.25,0.25
95444,0.16,0.29,0.29,0.25
95445,0.19,0.25,0.25,0.31
95446,0.18,0.26,0.32,0.24
95448,0.16,0.22,0.26,0.36
95449,0.17,0.35,0.29,0.19
95450,0.16,0.25,0.25,0.34
95451,0.17,0.27,0.26,0.3
95452,0.13,0.16,0.26,0.45
95453,0.18,0.27,0.27,0.28
95454,0.25,0.31,0.27,0.17
95456,0.23,0.28,0.27,0.22
95457,0.19,0.3,0.28,0.22
95458,0.24,0.36,0.23,0.17
95459,0.19,0.29,0.25,0.27
95460,0.21,0.3,0.22,0.28
95461,0.13,0.2,0.26,0.41
95462,0.21,0.26,0.28,0.26
95464,0.27,0.31,0.27,0.15
95465,0.19,0.23,0.27,0.31
95466,0.2,0.31,0.27,0.22
95468,0.25,0.32,0.27,0.17
95469,0.18,0.28,0.27,0.27
95470,0.17,0.23,0.28,0.32
95471,0.12,0.32,0.32,0.24
95472,0.17,0.19,0.24,0.4
95473,0.13,0.25,0.3,0.33
95476,0.14,0.19,0.26,0.41
95480,0.25,0.29,0.2,0.25
95481,0.25,0.44,0.22,0.08
95482,0.19,0.28,0.27,0.26
95485,0.21,0.34,0.29,0.17
95486,0.2,0.3,0.3,0.2
95487,0.11,0.33,0.33,0.23
95488,0.23,0.21,0.35,0.21
95490,0.22,0.27,0.28,0.23
95492,0.13,0.17,0.24,0.46
95494,0.15,0.28,0.28,0.29
95497,0.08,0.15,0.14,0.62
95501,0.24,0.34,0.24,0.17
95502,0.21,0.33,0.27,0.2
95503,0.19,0.26,0.26,0.29
95518,0.25,0.3,0.24,0.21
95519,0.19,0.26,0.28,0.28
95521,0.33,0.29,0.19,0.19
95524,0.24,0.21,0.2,0.35
95525,0.21,0.3,0.29,0.21
95526,0.25,0.29,0.33,0.13
95527,0.26,0.26,0.29,0.19
95528,0.2,0.25,0.29,0.26
95531,0.23,0.26,0.23,0.27
95534,0.12,0.27,0.24,0.37
95536,0.2,0.24,0.31,0.25
95537,0.28,0.37,0.25,0.1
95538,0.18,0.15,0.28,0.39
95540,0.2,0.26,0.28,0.25
95542,0.24,0.32,0.23,0.21
95543,0.16,0.2,0.24,0.4
95546,0.3,0.39,0.23,0.08
95547,0.19,0.23,0.25,0.32
95548,0.28,0.37,0.23,0.12
95549,0.2,0.19,0.21,0.4
95550,0.15,0.13,0.36,0.36
95551,0.19,0.3,0.3,0.22
95552,0.33,0.28,0.26,0.13
95553,0.27,0.27,0.24,0.21
95554,0.17,0.43,0.25,0.15
95555,0.24,0.33,0.31,0.12
95556,0.23,0.28,0.32,0.17
95560,0.29,0.37,0.23,0.12
95562,0.23,0.33,0.29,0.15
95563,0.22,0.27,0.29,0.22
95564,0.24,0.34,0.29,0.13
95565,0.16,0.16,0.47,0.21
95567,0.22,0.33,0.25,0.21
95569,0.15,0.24,0.33,0.28
95570,0.2,0.28,0.23,0.29
95571,0.19,0.33,0.22,0.26
95573,0.24,0.26,0.26,0.25
95589,0.28,0.35,0.21,0.16
95595,0.25,0.33,0.22,0.2
95601,0.2,0.22,0.26,0.32
95602,0.17,0.2,0.21,0.42
95603,0.16,0.21,0.23,0.39
95604,0.14,0.23,0.34,0.29
95605,0.22,0.36,0.29,0.13
95606,0.14,0.18,0.27,0.41
95607,0.14,0.17,0.25,0.44
95608,0.16,0.21,0.26,0.37
95609,0.15,0.22,0.34,0.3
95610,0.15,0.24,0.3,0.31
95611,0.12,0.24,0.37,0.26
95612,0.14,0.27,0.28,0.31
95613,0.21,0.21,0.23,0.34
95614,0.12,0.14,0.2,0.54
95615,0.21,0.39,0.23,0.17
95616,0.22,0.2,0.19,0.39
95617,0.17,0.24,0.3,0.29
95618,0.19,0.07,0.07,0.67
95619,0.15,0.24,0.29,0.31
95620,0.15,0.22,0.25,0.38
95621,0.13,0.23,0.33,0.31
95623,0.15,0.2,0.23,0.41
95624,0.14,0.15,0.21,0.5
95625,0.13,0.26,0.35,0.27
95626,0.17,0.23,0.27,0.33
95627,0.17,0.28,0.29,0.26
95628,0.15,0.17,0.23,0.45
95629,0.14,0.19,0.23,0.43
95630,0.12,0.11,0.16,0.61
95631,0.16,0.21,0.22,0.41
95632,0.15,0.23,0.26,0.36
95633,0.15,0.21,0.24,0.39
95634,0.14,0.22,0.27,0.38
95635,0.12,0.22,0.28,0.39
95636,0.11,0.21,0.31,0.37
95637,0.13,0.25,0.31,0.3
95638,0.14,0.2,0.21,0.45
95639,0.15,0.29,0.31,0.25
95640,0.16,0.21,0.27,0.36
95641,0.19,0.27,0.27,0.27
95642,0.19,0.23,0.24,0.34
95645,0.19,0.35,0.31,0.15
95648,0.13,0.19,0.24,0.43
95650,0.17,0.17,0.19,0.47
95651,0.2,0.25,0.21,0.35
95653,0.18,0.4,0.28,0.14
95655,0.16,0.15,0.32,0.37
95656,0.14,0.17,0.25,0.43
95658,0.16,0.16,0.21,0.48
95659,0.19,0.25,0.25,0.31
95660,0.19,0.32,0.33,0.16
95661,0.15,0.17,0.22,0.46
95662,0.15,0.19,0.25,0.41
95663,0.14,0.17,0.2,0.49
95664,0.14,0.17,0.21,0.47
95665,0.15,0.21,0.26,0.38
95666,0.15,0.22,0.27,0.36
95667,0.17,0.2,0.23,0.4
95668,0.18,0.25,0.24,0.33
95669,0.15,0.22,0.28,0.34
95670,0.16,0.23,0.28,0.33
95672,0.14,0.14,0.18,0.54
95673,0.16,0.24,0.3,0.29
95674,0.18,0.29,0.24,0.28
95675,0.24,0.26,0.22,0.28
95676,0.22,0.27,0.27,0.25
95677,0.16,0.17,0.23,0.44
95678,0.13,0.19,0.28,0.4
95680,0.18,0.39,0.29,0.15
95681,0.16,0.24,0.29,0.3
95682,0.15,0.16,0.2,0.49
95683,0.1,0.1,0.12,0.68
95684,0.17,0.2,0.26,0.37
95685,0.16,0.21,0.25,0.39
95686,0.2,0.45,0.22,0.12
95687,0.14,0.17,0.25,0.44
95688,0.16,0.17,0.21,0.46
95689,0.11,0.18,0.25,0.47
95690,0.19,0.32,0.27,0.22
95691,0.15,0.25,0.29,0.31
95692,0.19,0.25,0.27,0.3
95693,0.14,0.18,0.2,0.48
95694,0.18,0.25,0.26,0.31
95695,0.17,0.24,0.28,0.31
95696,0.1,0.2,0.33,0.36
95697,0.15,0.46,0.27,0.12
95701,0.15,0.22,0.24,0.39
95703,0.17,0.19,0.25,0.39
95709,0.16,0.19,0.25,0.4
95712,0.2,0.21,0.26,0.32
95713,0.15,0.2,0.24,0.4
95714,0.19,0.27,0.26,0.28
95715,0.21,0.21,0.33,0.25
95717,0.18,0.22,0.32,0.28
95722,0.17,0.15,0.21,0.47
95726,0.15,0.2,0.24,0.4
95728,0.16,0.3,0.28,0.26
95736,0.17,0.25,0.24,0.34
95741,0.14,0.22,0.39,0.24
95742,0.09,0.19,0.31,0.4
95746,0.17,0.1,0.11,0.62
95747,0.11,0.13,0.19,0.57
95758,0.11,0.13,0.21,0.55
95759,0.12,0.22,0.32,0.35
95762,0.14,0.09,0.11,0.67
95763,0.09,0.16,0.28,0.47
95765,0.12,0.1,0.15,0.63
95776,0.15,0.27,0.29,0.29
95798,0.08,0.13,0.41,0.38
95800,0.21,0.26,0.21,0.31
95812,0.14,0.23,0.34,0.29
95814,0.18,0.34,0.3,0.17
95815,0.21,0.36,0.3,0.13
95816,0.12,0.26,0.36,0.26
95817,0.22,0.31,0.29,0.18
95818,0.15,0.21,0.26,0.37
95819,0.1,0.14,0.26,0.51
95820,0.19,0.32,0.33,0.17
95821,0.17,0.27,0.29,0.28
95822,0.18,0.27,0.3,0.24
95823,0.2,0.3,0.31,0.2
95824,0.24,0.37,0.29,0.09
95825,0.16,0.29,0.32,0.22
95826,0.14,0.22,0.32,0.31
95827,0.15,0.25,0.33,0.27
95828,0.18,0.25,0.3,0.26
95829,0.12,0.15,0.25,0.49
95830,0.11,0.2,0.26,0.44
95831,0.13,0.15,0.26,0.47
95832,0.28,0.35,0.28,0.09
95833,0.12,0.22,0.34,0.32
95834,0.12,0.22,0.31,0.35
95835,0.08,0.09,0.17,0.65
95837,0.2,0.15,0.19,0.47
95838,0.22,0.33,0.29,0.16
95841,0.17,0.28,0.33,0.22
95842,0.15,0.27,0.34,0.24
95843,0.13,0.18,0.26,0.43
95851,0.15,0.19,0.35,0.31
95852,0.2,0.2,0.4,0.19
95860,0.14,0.21,0.3,0.34
95864,0.14,0.16,0.21,0.49
95865,0.11,0.18,0.32,0.39
95866,0.13,0.29,0.3,0.28
95901,0.22,0.32,0.27,0.19
95903,0.09,0.44,0.35,0.12
95912,0.21,0.36,0.27,0.16
95913,0.21,0.26,0.27,0.25
95914,0.16,0.28,0.28,0.28
95916,0.26,0.27,0.25,0.22
95917,0.22,0.31,0.27,0.21
95918,0.14,0.21,0.24,0.41
95919,0.16,0.31,0.28,0.24
95922,0.23,0.28,0.26,0.23
95924,0.17,0.3,0.29,0.24
95925,0.24,0.3,0.18,0.28
95926,0.27,0.27,0.22,0.25
95927,0.21,0.31,0.27,0.21
95928,0.26,0.28,0.22,0.24
95930,0.22,0.23,0.32,0.23
95932,0.19,0.3,0.26,0.24
95934,0.28,0.31,0.21,0.2
95935,0.18,0.35,0.24,0.23
95936,0.23,0.23,0.27,0.27
95937,0.17,0.3,0.29,0.24
95938,0.2,0.24,0.22,0.34
95939,0.23,0.26,0.27,0.23
95941,0.22,0.23,0.34,0.2
95942,0.18,0.18,0.27,0.37
95943,0.23,0.26,0.23,0.28
95945,0.18,0.26,0.28,0.28
95946,0.17,0.19,0.23,0.41
95947,0.22,0.27,0.27,0.24
95948,0.23,0.33,0.26,0.18
95949,0.17,0.2,0.22,0.41
95950,0.2,0.48,0.23,0.09
95951,0.2,0.49,0.25,0.06
95953,0.24,0.36,0.27,0.14
95954,0.19,0.29,0.28,0.24
95955,0.19,0.32,0.28,0.21
95956,0.17,0.26,0.23,0.34
95957,0.21,0.29,0.26,0.25
95959,0.18,0.22,0.23,0.37
95960,0.27,0.34,0.25,0.14
95961,0.22,0.38,0.29,0.11
95962,0.24,0.25,0.2,0.31
95963,0.21,0.32,0.27,0.2
95965,0.24,0.34,0.25,0.17
95966,0.2,0.3,0.26,0.24
95967,0.17,0.28,0.29,0.25
95968,0.24,0.36,0.27,0.13
95969,0.2,0.27,0.26,0.26
95970,0.18,0.3,0.22,0.3
95971,0.22,0.23,0.26,0.29
95972,0.15,0.3,0.39,0.15
95973,0.19,0.25,0.25,0.3
95974,0.15,0.23,0.31,0.32
95975,0.17,0.24,0.27,0.32
95977,0.13,0.19,0.3,0.38
95979,0.18,0.28,0.27,0.28
95982,0.18,0.24,0.29,0.3
95983,0.19,0.17,0.3,0.33
95987,0.19,0.39,0.29,0.12
95988,0.23,0.28,0.26,0.23
95991,0.19,0.31,0.27,0.23
95992,0.21,0.37,0.25,0.17
95993,0.18,0.23,0.25,0.34
96001,0.2,0.25,0.22,0.32
96002,0.22,0.31,0.24,0.24
96003,0.19,0.26,0.26,0.29
96006,0.18,0.24,0.34,0.24
96007,0.22,0.31,0.27,0.2
96008,0.17,0.29,0.26,0.28
96009,0.2,0.25,0.3,0.25
96010,0.29,0.39,0.17,0.15
96013,0.2,0.25,0.28,0.27
96015,0.27,0.33,0.28,0.12
96017,0.28,0.32,0.23,0.17
96019,0.23,0.32,0.26,0.19
96020,0.2,0.21,0.29,0.3
96021,0.23,0.33,0.28,0.16
96022,0.19,0.26,0.27,0.27
96023,0.26,0.37,0.21,0.16
96024,0.25,0.27,0.22,0.26
96025,0.23,0.31,0.26,0.19
96027,0.21,0.26,0.28,0.25
96028,0.21,0.26,0.27,0.25
96032,0.19,0.3,0.29,0.23
96033,0.17,0.26,0.42,0.15
96034,0.17,0.26,0.3,0.27
96035,0.21,0.34,0.31,0.14
96037,0.18,0.26,0.37,0.19
96038,0.21,0.33,0.28,0.18
96039,0.24,0.32,0.27,0.17
96040,0.21,0.22,0.31,0.25
96041,0.25,0.34,0.26,0.15
96044,0.19,0.33,0.32,0.16
96047,0.2,0.29,0.3,0.21
96048,0.26,0.24,0.31,0.19
96049,0.15,0.27,0.31,0.27
96050,0.19,0.38,0.29,0.14
96051,0.26,0.25,0.21,0.28
96052,0.21,0.28,0.29,0.22
96054,0.18,0.29,0.3,0.23
96055,0.19,0.33,0.27,0.21
96056,0.22,0.26,0.29,0.23
96057,0.21,0.27,0.32,0.2
96058,0.23,0.33,0.31,0.13
96059,0.17,0.34,0.32,0.18
96062,0.21,0.2,0.17,0.41
96064,0.23,0.3,0.29,0.18
96065,0.26,0.25,0.27,0.22
96067,0.23,0.25,0.23,0.29
96069,0.17,0.28,0.23,0.32
96071,0.23,0.28,0.23,0.26
96073,0.19,0.17,0.2,0.43
96075,0.32,0.33,0.2,0.14
96078,0.15,0.29,0.34,0.23
96079,0.14,0.38,0.32,0.15
96080,0.2,0.29,0.27,0.24
96084,0.22,0.2,0.31,0.26
96086,0.23,0.27,0.28,0.21
96087,0.19,0.23,0.27,0.31
96088,0.17,0.25,0.3,0.28
96089,0.21,0.32,0.29,0.18
96090,0.25,0.32,0.28,0.15
96091,0.26,0.27,0.26,0.21
96092,0.16,0.34,0.31,0.19
96093,0.21,0.27,0.27,0.25
96094,0.24,0.26,0.28,0.23
96096,0.13,0.26,0.29,0.32
96097,0.24,0.28,0.27,0.22
96099,0.19,0.27,0.27,0.28
96101,0.24,0.28,0.24,0.24
96103,0.19,0.19,0.25,0.37
96104,0.2,0.26,0.29,0.25
96105,0.14,0.25,0.3,0.31
96106,0.17,0.13,0.21,0.49
96107,0.16,0.24,0.37,0.22
96109,0.2,0.31,0.34,0.14
96113,0.13,0.22,0.39,0.26
96114,0.14,0.14,0.22,0.49
96116,0.24,0.33,0.2,0.22
96117,0.16,0.26,0.28,0.3
96118,0.17,0.21,0.28,0.33
96120,0.22,0.28,0.23,0.27
96121,0.09,0.25,0.23,0.42
96122,0.23,0.24,0.26,0.27
96125,0.18,0.27,0.24,0.3
96126,0.15,0.25,0.33,0.28
96127,0.15,0.16,0.27,0.42
96128,0.16,0.19,0.28,0.37
96129,0.17,0.22,0.32,0.29
96130,0.18,0.22,0.24,0.36
96134,0.27,0.33,0.24,0.16
96137,0.21,0.22,0.3,0.28
96140,0.18,0.24,0.23,0.35
96141,0.18,0.29,0.22,0.3
96142,0.17,0.28,0.29,0.26
96143,0.16,0.38,0.3,0.16
96145,0.18,0.27,0.28,0.27
96146,0.21,0.32,0.26,0.21
96148,0.23,0.21,0.22,0.34
96150,0.19,0.26,0.25,0.3
96151,0.2,0.35,0.27,0.18
96152,0.16,0.33,0.27,0.24
96154,0.14,0.27,0.3,0.29
96155,0.16,0.25,0.28,0.31
96156,0.21,0.43,0.24,0.13
96157,0.17,0.47,0.28,0.07
96158,0.19,0.33,0.25,0.23
96160,0.16,0.23,0.28,0.33
96161,0.15,0.19,0.19,0.47
96162,0.15,0.27,0.29,0.29
